Fried N Fries,https:\/\/www.zomato.com\/chennai\/fried-n-fries-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"73, Pilliyar Koil Street, Srm Back Gate, Potheri, GST Road, Chennai",Chennai
Aahar,https:\/\/www.zomato.com\/chennai\/aahar-sholinganallur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Sholinganallur, Chennai",Chennai
Mr. Papdi,https:\/\/www.zomato.com\/chennai\/mr-papdi-ashok-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"#3, 9th Avenue, Ashok pillar, next to madras coffee house, near girls govt. school, Ashok Nagar, Chennai",Chennai
IS Luscious,https:\/\/www.zomato.com\/chennai\/is-luscious-sholinganallur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 12, Sholinganallur Market, Beside Infosys, Sholinganallur, Chennai",Chennai
Halal Food Court,https:\/\/www.zomato.com\/chennai\/halal-food-court-kodambakkam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4, 4th Cross Street, United India Colony, Kodambakkam, Chennai",Chennai
Bake My Day,https:\/\/www.zomato.com\/chennai\/bake-my-day-anna-nagar-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2, Tas Enclave, AK Block, Anna Nagar West, Chennai",Chennai
Arafa Takeaway,https:\/\/www.zomato.com\/chennai\/arafa-takeaway-nungambakkam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, Nageswar Road, Nungambakkam, Chennai",Chennai
The Cake Designer,https:\/\/www.zomato.com\/chennai\/the-cake-designer-ashok-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 2, 22nd street, 5th Avenue, Ashok Nagar, Chennai",Chennai
Aasife & Brothers Biriyani Centre,https:\/\/www.zomato.com\/chennai\/aasife-brothers-biriyani-centre-egmore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"101, Swamy Naicken Street, Chindadripet, Egmore, Chennai",Chennai
Kattumaram,https:\/\/www.zomato.com\/chennai\/kattumaram-arumbakkam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"834\/596, Ponnamalle High Road, Arumbakkam, Chennai",Chennai
Hangoutz,https:\/\/www.zomato.com\/chennai\/hangoutz-madhavaram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 4, 2nd Floor, Madhavaram High Road, JKR Nagar, Chennai",Chennai
Vishwa Restaurant,https:\/\/www.zomato.com\/chennai\/vishwa-restaurant-ekkaduthangal?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 25, Poonamallee Road, Ekkaduthangal, Chennai",Chennai
Hotel Saravana Bhavan,https:\/\/www.zomato.com\/chennai\/hotel-saravana-bhavan-kodambakkam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"25, 1st Main Road, Kodambakkam, Chennai",Chennai
A2B - Adyar Ananda Bhavan,https:\/\/www.zomato.com\/chennai\/a2b-adyar-ananda-bhavan-mahabalipuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 78, Nehru Illam, TNL Welfare Building, Mahabalipuram, Chennai",Chennai
Links,https:\/\/www.zomato.com\/chennai\/links-arumbakkam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"20\/21, Dr. Radhakrishna Nagar, Opposite DG Vaishnav, Arumbakkam, Chennai",Chennai
Mummy Fast Food Biriyani Castle,https:\/\/www.zomato.com\/chennai\/mummy-fast-food-biriyani-castle-anna-nagar-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 126, Radilal House Building, Mogappair Road, Anna Nagar West, Chennai",Chennai
Cafe 97,https:\/\/www.zomato.com\/chennai\/cafe-97-anna-nagar-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 45\/8, Shanthi Nikethan Colony, Anna Nagar West, Chennai",Chennai
Chinni's Kitchen,https:\/\/www.zomato.com\/chennai\/chinnis-kitchen-mogappair?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Justice Rathinavel Pandian Street, Golden George Nagar, Nerkundran, Mogappair, Chennai",Chennai
Sai Juice Spot,https:\/\/www.zomato.com\/chennai\/sai-juice-spot-royapettah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Old 27, New 69, Shaik Bawood Street, Royapettah, Chennai",Chennai
Almonds,https:\/\/www.zomato.com\/chennai\/almonds-mogappair?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 37, Rathnivel Pandian Road, Golden George Nagar, Mogappair, Chennai",Chennai
Star Park Biriyani,https:\/\/www.zomato.com\/chennai\/star-park-biriyani-mogappair?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Rathnivel Pandian Streer, Mogappair, Chennai",Chennai
Hotel Vishnu Bhavan,https:\/\/www.zomato.com\/chennai\/hotel-vishnu-bhavan-mogappair?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 120, Golden George Nagar, Church Road, Mogappair, Chennai",Chennai
Appuchi Unavagam,https:\/\/www.zomato.com\/chennai\/appuchi-unavagam-mogappair?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 113, Vellalar Street, West Mogappair, Chennai",Chennai
Hotel Pandian,https:\/\/www.zomato.com\/chennai\/hotel-pandian-mogappair?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 3,PC-7, Kambar Salai, West Mogappair, Chennai",Chennai
SLB Cake House,https:\/\/www.zomato.com\/chennai\/slb-cake-house-alandur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 85-A, Railway Station Road, Alandur, Chennai",Chennai
Entremets,https:\/\/www.zomato.com\/chennai\/entremets-egmore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"16, Kennet Lane Street, Opposite Post Office, Egmore, Chennai",Chennai
Majestic Briyani,https:\/\/www.zomato.com\/chennai\/majestic-briyani-ekkaduthangal?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 29, Jawaharlal Salai, Next to SBI Bank, Ekkaduthangal, Chennai",Chennai
Al Durbar Biriyani & Fast Food,https:\/\/www.zomato.com\/chennai\/al-durbar-biriyani-fast-food-ekkaduthangal?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 24, Poonamallee Road, Ekkaduthangal, Chennai",Chennai
Hotel Green Signal,https:\/\/www.zomato.com\/chennai\/hotel-green-signal-ekkaduthangal?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"7\/8, Poonamallee Road, Ekkaduthangal, Chennai",Chennai
Riswan Tiffen Centre,https:\/\/www.zomato.com\/chennai\/riswan-tiffen-centre-ekkaduthangal?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 14, Poonamallee Road, Ekkaduthangal, Chennai",Chennai
Thai Unavagam,https:\/\/www.zomato.com\/chennai\/thai-unavagam-ekkaduthangal?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 14-A, Poonamallee Road, Ekkaduthangal, Chennai",Chennai
Saapida Vaanga,https:\/\/www.zomato.com\/chennai\/saapida-vaanga-ashok-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Mo. 92\/94, Pilliyar Koil Sreet, Japurkhanpet, Next to Kasi Theatre, Ashok Nagar, Chennai",Chennai
SD Hydrabadi Briyani & Fast Food,https:\/\/www.zomato.com\/chennai\/sd-hydrabadi-briyani-fast-food-ashok-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 7\/9, Pillayar Koil Street, Jaferkhan Street, Ashok Nagar, Chennai",Chennai
S. Pavithara Ice Parlour,https:\/\/www.zomato.com\/chennai\/s-pavithara-ice-parlour-ashok-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 101\/72, Pillayar Koil Street, Jaferkhanpet, Ashok Nagar, Chennai",Chennai
3G Corner,https:\/\/www.zomato.com\/chennai\/3g-corner-west-mambalam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 17\/74, Govindan Road, Mettupalayam, West Mambalam, Chennai",Chennai
Yellow Panda,https:\/\/www.zomato.com\/chennai\/yellow-panda-kanathur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3\/481, East Coast Road (ECR), Uthandi, Kanathur, Chennai",Chennai
Cakes and Berrys,https:\/\/www.zomato.com\/chennai\/cakes-and-berrys-valasaravakkam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2A, Sridevi Kuppam Main Road, Valasaravakkam, Chennai",Chennai
Madurai Devar Mess,https:\/\/www.zomato.com\/chennai\/madurai-devar-mess-kolathur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 10, 200 Feet Road, Thiruvalluvar Nagar, Kolathur, Chennai",Chennai
